timestamp,client_ip,method,endpoint,status_code,response_time_ms,payload_size,user_agent
2026-04-04 00:32:22,192.168.1.72,GET,/,200,1.83,0,NormalAgent/1.0
2026-04-04 00:32:23,192.168.1.113,GET,/secret,200,3.17,4096,AttackSimulator/1.0
2026-04-04 00:32:33,192.168.1.166,GET,/data,200,1.18,512,NormalAgent/1.0
2026-04-04 00:32:33,192.168.1.93,GET,/,200,0.71,0,NormalAgent/1.0
2026-04-04 00:32:37,192.168.1.3,GET,/,200,2.08,128,NormalAgent/1.0
2026-04-04 00:32:51,192.168.1.186,GET,/admin,404,3.08,2048,AttackSimulator/1.0
2026-04-04 00:32:55,192.168.1.11,GET,/,200,1.52,64,NormalAgent/1.0
2026-04-04 00:33:12,192.168.1.111,GET,/login,200,10.1,512,AttackSimulator/1.0
2026-04-04 00:33:14,192.168.1.178,GET,/,200,1.32,0,NormalAgent/1.0
2026-04-04 00:33:14,192.168.1.51,GET,/login,200,2.69,512,NormalAgent/1.0
2026-04-04 00:33:27,192.168.1.115,GET,/admin,500,13.15,1024,AttackSimulator/1.0
2026-04-04 00:33:35,192.168.1.150,GET,/health,200,0.9,256,NormalAgent/1.0
2026-04-04 00:33:37,192.168.1.37,GET,/,200,2.01,256,NormalAgent/1.0
2026-04-04 00:33:40,192.168.1.116,GET,/admin,403,8.04,2048,AttackSimulator/1.0
2026-04-04 00:33:45,192.168.1.42,GET,/,200,1.56,64,NormalAgent/1.0
2026-04-04 00:33:55,192.168.1.189,GET,/login,200,2.97,256,NormalAgent/1.0
2026-04-04 00:33:55,192.168.1.179,GET,/secret,404,3.93,1024,AttackSimulator/1.0
2026-04-04 00:33:58,192.168.1.63,GET,/login,200,1.43,0,NormalAgent/1.0
2026-04-04 00:34:10,192.168.1.42,GET,/login,200,1.57,128,NormalAgent/1.0
2026-04-04 00:34:19,192.168.1.100,GET,/login,200,2.04,256,NormalAgent/1.0
2026-04-04 00:34:24,192.168.1.155,GET,/login,200,1.3,64,NormalAgent/1.0
2026-04-04 00:34:24,192.168.1.81,GET,/data,404,0.81,0,NormalAgent/1.0
2026-04-04 00:34:25,192.168.1.116,GET,/data,200,2.6,128,NormalAgent/1.0
2026-04-04 00:34:25,192.168.1.3,GET,/admin,403,13.42,1024,AttackSimulator/1.0
2026-04-04 00:34:30,192.168.1.61,GET,/data,200,2.28,0,NormalAgent/1.0
2026-04-04 00:34:32,192.168.1.72,GET,/login,200,12.24,0,AttackSimulator/1.0
2026-04-04 00:34:33,192.168.1.53,GET,/,200,2.95,512,NormalAgent/1.0
2026-04-04 00:34:40,192.168.1.166,GET,/config,403,7.9,4096,AttackSimulator/1.0
2026-04-04 00:34:40,192.168.1.121,GET,/config,404,7.14,512,AttackSimulator/1.0
2026-04-04 00:34:47,192.168.1.107,GET,/data,200,0.52,128,NormalAgent/1.0
2026-04-04 00:34:48,192.168.1.93,GET,/login,404,7.24,0,AttackSimulator/1.0
2026-04-04 00:34:51,192.168.1.32,GET,/,404,2.82,256,NormalAgent/1.0
2026-04-04 00:34:53,192.168.1.170,GET,/login,401,10.16,2048,AttackSimulator/1.0
2026-04-04 00:35:03,192.168.1.37,GET,/data,404,2.85,64,NormalAgent/1.0
2026-04-04 00:35:03,192.168.1.24,GET,/data,200,1.77,0,NormalAgent/1.0
2026-04-04 00:35:36,192.168.1.180,GET,/,200,2.25,128,NormalAgent/1.0
